question_id,question_type,question,gold_answer,generated_answer,faithfulness,relevance,completeness,citation_quality,avg_score,num_retrieved,num_cited,explanation,chunk_config,embedding_model,llm_model
0,factual,What does the acronym ASICS stand for?,Anima Sana in Corpore Sano or 'a sound mind in a sound body.',"The acronym ASICS stands for Anima Sana in Corpore Sano, which translates to 'a sound mind in a sound body.'",5,5,5,5,5.0,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the meaning of the acronym ASICS without any unsupported claims. It directly addresses the question and includes all key points from the gold answer. The citations are accurate and appropriately placed, confirming the information provided.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
1,factual,What is the purpose of the 4D GUIDANCE SYSTEM™ in the GEL-KAYANO®30 shoe?,The 4D GUIDANCE SYSTEM™ helps provide adaptive stability and repositions the arch after each impact for a more supportive stride.,"The purpose of the 4D GUIDANCE SYSTEM™ in the GEL-KAYANO®30 shoe is to provide adaptive stability. This system is placed on the inside of the midsole and uses adaptive foam to help reposition the arch after each impact, resulting in a more supportive stride.",4,5,4,1,3.5,5,1,"The generated answer is mostly supported by the context, accurately describing the purpose of the 4D GUIDANCE SYSTEM™ with minor unsupported details about the adaptive foam. It directly addresses the question and covers most key points from the gold answer. However, the citation provided is not relevant to the content of the answer.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
2,factual,What is the M.S.R.P. of the CREAM/FAWN model listed in the text?,$160.00,$160.00,5,5,5,5,5.0,5,1,"The generated answer is completely supported by the retrieved context, which clearly states the M.S.R.P. of the CREAM/FAWN model as $160.00. It directly answers the question without any irrelevant details and covers all key points from the gold answer. The citation is accurate and appropriately placed.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
3,factual,What is the M.S.R.P. of the LITE-SHOW BLACK/PURE SILVER shoes?,$170.00,The M.S.R.P. of the LITE-SHOW BLACK/PURE SILVER shoes is $170.00.,5,5,5,5,5.0,5,2,"The generated answer is completely supported by the retrieved context, accurately stating the M.S.R.P. of the shoes as $170.00. It directly addresses the question asked without any irrelevant details, and all cited chunks provide accurate information regarding the price.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
4,factual,What is the stack height of the GEL-KAYANO® 30 - MEN’S shoe?,29mm-19mm,The stack height of the GEL-KAYANO® 30 - MEN’S shoe is 29mm in the heel and 19mm in the forefoot.,5,5,5,5,5.0,5,1,"The generated answer is fully supported by the retrieved context, accurately reflecting the stack height of the GEL-KAYANO® 30 - MEN’S shoe. It directly addresses the question asked and includes all key points from the gold answer, with proper citation from the retrieved context.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
5,analytical,"How do the design features of the METASPEED™EDGE+ and METASPEED™SKY+ shoes reflect a growing trend in the running shoe industry regarding sustainability, and what implications might this have for consumer choices?","The design features, such as the use of recycled materials for at least 50% of the shoe's upper and the solution dyeing process that significantly reduces water usage and carbon emissions, indicate a trend towards sustainability in the running shoe industry. This may influence consumer choices by attracting environmentally conscious runners who prioritize eco-friendly products, potentially leading to increased demand for sustainably produced footwear and encouraging other brands to adopt similar practices.","The design features of the METASPEED™EDGE+ and METASPEED™SKY+ shoes reflect a growing trend in the running shoe industry regarding sustainability through several key aspects. Firstly, at least 50% of the shoe’s main upper material is made with recycled content, which helps reduce waste and carbon emissions. Additionally, the sockliner is produced using a solution dyeing process that significantly reduces water usage by approximately 33% and carbon emissions by around 45% compared to conventional dyeing technologies. These sustainable practices not only contribute to environmental conservation but also appeal to consumers who are increasingly prioritizing eco-friendly products in their purchasing decisions. As a result, this trend may influence consumer choices by encouraging them to select products that align with their values regarding sustainability and environmental responsibility.",5,5,5,3,4.5,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the sustainable features of the shoes. It directly addresses the question and covers all key points from the gold answer. However, the citation quality is only partially accurate as it does not include all relevant chunks from the retrieved context.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
6,analytical,How does the incorporation of recycled materials and sustainable dyeing processes in the METASPEED™ shoes reflect broader trends in consumer preferences and environmental responsibility in the footwear industry?,"The use of recycled materials and sustainable dyeing processes indicates a shift in the footwear industry towards eco-friendly practices, responding to increasing consumer demand for environmentally conscious products. This trend suggests that brands are recognizing the importance of sustainability in attracting customers, which could lead to a broader shift in manufacturing practices across the industry as consumers become more aware of their environmental impact.","The incorporation of recycled materials and sustainable dyeing processes in the METASPEED™ shoes reflects broader trends in consumer preferences and environmental responsibility in the footwear industry by addressing the increasing demand for eco-friendly products. At least 50% of the shoe’s main upper material is made with recycled content, which helps reduce waste and carbon emissions. Additionally, the sockliner is produced using a solution dyeing process that reduces water usage by approximately 33% and carbon emissions by approximately 45% compared to conventional dyeing technology. These features align with the growing consumer preference for sustainability and environmental responsibility in their purchasing decisions.",5,5,5,4,4.75,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the eco-friendly practices of the METASPEED™ shoes. It directly addresses the question regarding consumer preferences and environmental responsibility, covering all key points from the gold answer. However, while the citations are mostly accurate, they could be improved by including more specific references to the relevant context.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
7,analytical,"How does the design of the MAGICSPEED™3 shoe reflect current trends in sustainability within the athletic shoe industry, and what might be the implications for consumer purchasing behavior?","The MAGICSPEED™3 shoe incorporates sustainable materials, such as recycled materials for the upper and a dyeing process that significantly reduces water usage and carbon emissions. This reflects a growing trend in the athletic shoe industry towards sustainability, appealing to environmentally conscious consumers. As more consumers prioritize eco-friendly products, the implications could include increased sales for brands that adopt similar sustainable practices, potentially influencing competitors to enhance their own sustainability efforts to meet market demand.","The design of the MAGICSPEED™3 shoe reflects current trends in sustainability within the athletic shoe industry by utilizing at least 50% of its main upper material made from recycled materials, which helps reduce waste and carbon emissions. Additionally, the sockliner is produced using a solution dyeing process that decreases water usage by approximately 33% and carbon emissions by about 45% compared to conventional dyeing methods. These sustainable features are likely to influence consumer purchasing behavior as more consumers are becoming environmentally conscious and prefer products that align with their values regarding sustainability. This could lead to increased demand for products like the MAGICSPEED™3 that demonstrate a commitment to reducing environmental impact.",5,5,5,4,4.75,5,2,"The generated answer is fully supported by the retrieved context, accurately reflecting the sustainable features of the MAGICSPEED™3 shoe without any unsupported claims. It directly addresses the question and covers all key points from the gold answer. However, while the citations are mostly accurate, there is a minor issue with the citation quality as one of the cited chunks does not directly relate to sustainability.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
8,multi-hop,"How does ASICS' commitment to sustainability and advanced technology in their GEL-KAYANO® 30 shoe align with their founding philosophy of promoting a sound mind in a sound body, and what are the specific features of this shoe that reflect this commitment?","ASICS' commitment to sustainability is reflected in the GEL-KAYANO® 30 shoe, which incorporates materials like FF BLAST™PLUS ECO cushioning made with approximately 24% bio-based content and features at least 70% of the shoe’s main upper material made with recycled materials. These innovations not only enhance the shoe's performance but also contribute to reducing waste and carbon emissions. This aligns with ASICS' founding philosophy, as promoting healthy practices through sport supports both mental and physical well-being, reinforcing the idea of a sound mind in a sound body. The shoe's advanced technologies, such as the 4D GUIDANCE SYSTEM™ and PureGEL™ technology, further enhance stability and comfort, encouraging individuals to engage in sporting activities that foster their mental health.","ASICS' commitment to sustainability and advanced technology in their GEL-KAYANO® 30 shoe aligns with their founding philosophy of promoting a sound mind in a sound body by integrating features that enhance performance while being environmentally conscious. The shoe is designed for stability and cushioning, which supports physical activity, reflecting the philosophy of promoting health and well-being. Specific features that reflect this commitment include the 4D GUIDANCE SYSTEM™ for adaptive stability, FF BLAST™PLUS ECO cushioning made with approximately 24% bio-based content for cloud-like comfort, and PureGEL™ technology that improves impact absorption. Additionally, at least 70% of the shoe’s main upper material is made with recycled materials to reduce waste and carbon emissions, and the sockliner is produced using a dyeing process that reduces water usage by approximately 33% and carbon emissions by approximately 45%. These features collectively support both athletic performance and environmental sustainability.",5,5,5,1,4.0,5,1,"The generated answer is fully supported by the retrieved context and accurately reflects ASICS' commitment to sustainability and technology in the GEL-KAYANO® 30 shoe. It directly addresses the question and covers all key points from the gold answer. However, the citation quality is poor as it only cites one chunk that does not provide specific details about the shoe's features or sustainability efforts.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
9,multi-hop,"Based on the end-of-life dates and introductory dates for the shoes listed, which shoe has the latest end-of-life date among the models that were introduced on or after July 1, 2023, and how does its MSRP compare to the MSRP of the GT-2000™12 mentioned in the passages?","The shoe with the latest end-of-life date among those introduced on or after July 1, 2023, is the GT-2000™12, with an EOL of June 30, 2024, and it has an MSRP of $160.00, which is $20.00 less than the ANNIVERSARY WHITE/DEEP OCEAN shoe that has an MSRP of $180.00.","The shoe with the latest end-of-life date among the models introduced on or after July 1, 2023, is the GT-2000™12, which has an end-of-life date of June 30, 2024. Its MSRP is $150.00, which is $30.00 less than the MSRP of the GT-2000™12 mentioned in the passages, which is $180.00.",4,5,3,4,4.0,5,2,"The generated answer is mostly supported by the retrieved context, but it incorrectly states the MSRP of the GT-2000™12 as $150.00 instead of $160.00, leading to a minor unsupported detail. It directly addresses the question and provides relevant comparisons, but it misses the correct MSRP of the GT-2000™12. The citations are mostly accurate, but the MSRP error affects the overall completeness.",ASICS-AW23-Run-Catalog__parser_pymupdf__cs512__ov128,openai-large,gpt-4o-mini
